      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25       >24h   6833      0       >24h   4953      0
 24       >24h   5790      0       >24h   5715      0
 23       >24h   6756      0       >24h   6719      0
 22       >24h   5625      0       >24h   5481      0
 21       >24h   7446      0       >24h   7279      0
 20       >24h   8179      0       >24h   7672      0
 19       >24h   9011      0       >24h   6828      0
 18       >24h   9499      0       >24h   9370      0
 17       >24h   9980      0       >24h   9803      0
 16       >24h  10891      0       >24h  10487      0
 15       >24h  10376      0       >24h  10228      0
 14       >24h  12591      0       >24h  11768      0
 13       >24h  11785      0       >24h  11631      0
 12       >24h  13997      0       >24h  12083      0
 11       >24h  13778      0       >24h  13594      0
 10       >24h  16078      0       >24h  15481      0
  9       >24h  14903      0       >24h  14597      0
  8       >24h  16373      0       >24h  15445      0
  7       >24h  17286      0       >24h  16656      0
  6       >24h  24933      0       >24h  23786      0
  5       >24h  31445      0       >24h  26612      0
  4       >24h  32330      0       >24h  31037      0
  3       >24h  38695      0       >24h  35431      0
  2       >24h  47502      0       >24h  42576      0
  1       >24h  74875      0       >24h  60441      0
